time,open,high,low,close,volume
2016-07-04,1.3247,1.334,1.3228,1.329,0
2016-07-05,1.3289,1.3296,1.2999,1.3023,0
2016-07-06,1.302,1.303,1.2798,1.2931,0
2016-07-07,1.2932,1.305,1.2874,1.291,0
2016-07-08,1.2909,1.3018,1.2878,1.2956,0
2016-07-11,1.295,1.3018,1.285,1.2994,0
2016-07-12,1.299,1.3296,1.2969,1.3243,0
2016-07-13,1.3248,1.3338,1.3132,1.3147,0
2016-07-14,1.3146,1.3475,1.3106,1.3342,0
2016-07-15,1.3342,1.3481,1.3132,1.3193,0
2016-07-18,1.3169,1.3313,1.3163,1.3256,0
2016-07-19,1.3255,1.3276,1.3072,1.3111,0
2016-07-20,1.3111,1.3227,1.3063,1.321,0
2016-07-21,1.3208,1.3276,1.3157,1.3234,0
2016-07-22,1.3236,1.3294,1.3081,1.3111,0
2016-07-25,1.3112,1.3165,1.3094,1.3141,0
2016-07-26,1.3139,1.3179,1.3059,1.3132,0
2016-07-27,1.3132,1.3235,1.3071,1.3221,0
2016-07-28,1.322,1.3249,1.3117,1.3165,0
2016-07-29,1.3169,1.3305,1.315,1.3231,0
2016-08-01,1.3234,1.3276,1.3165,1.3178,0
2016-08-02,1.3181,1.3366,1.3172,1.3357,0
2016-08-03,1.3357,1.3373,1.328,1.3328,0
2016-08-04,1.3329,1.3349,1.3103,1.3108,0
2016-08-05,1.311,1.3178,1.3023,1.3073,0
2016-08-08,1.3056,1.3097,1.3027,1.3039,0
2016-08-09,1.304,1.3053,1.2956,1.3002,0
2016-08-10,1.3005,1.3096,1.299,1.3011,0
2016-08-11,1.3006,1.3028,1.2935,1.2955,0
2016-08-12,1.296,1.3039,1.2905,1.2923,0
2016-08-15,1.292,1.2945,1.2864,1.288,0
2016-08-16,1.2878,1.3052,1.2873,1.3045,0
2016-08-17,1.3047,1.3089,1.2979,1.3042,0
2016-08-18,1.3043,1.3174,1.3033,1.3168,0
2016-08-19,1.3173,1.3186,1.3021,1.3075,0
2016-08-22,1.306,1.3158,1.3028,1.3139,0
2016-08-23,1.3137,1.3215,1.3131,1.3196,0
2016-08-24,1.3193,1.3274,1.316,1.3233,0
2016-08-25,1.3233,1.3264,1.3166,1.3191,0
2016-08-26,1.3191,1.3281,1.312,1.3139,0
2016-08-29,1.3133,1.314,1.3057,1.3103,0
2016-08-30,1.311,1.3121,1.306,1.3083,0
2016-08-31,1.3077,1.3158,1.3065,1.3138,0
2016-09-01,1.3139,1.3318,1.3125,1.3268,0
2016-09-02,1.3272,1.3356,1.3255,1.3293,0
2016-09-05,1.3299,1.3379,1.3291,1.3304,0
2016-09-06,1.3303,1.3447,1.3295,1.3439,0
2016-09-07,1.3438,1.3441,1.3317,1.3338,0
2016-09-08,1.3339,1.3377,1.3281,1.3296,0
2016-09-09,1.3299,1.3341,1.3242,1.3267,0
2016-09-12,1.3273,1.3351,1.3239,1.3338,0
2016-09-13,1.3337,1.3344,1.3167,1.3195,0
2016-09-14,1.3191,1.3242,1.3138,1.3235,0
2016-09-15,1.3232,1.3279,1.3179,1.3238,0
2016-09-16,1.3241,1.3255,1.2998,1.3001,0
2016-09-19,1.2995,1.3093,1.2992,1.3027,0
2016-09-20,1.3029,1.3064,1.2946,1.2989,0
2016-09-21,1.2989,1.3048,1.2945,1.3027,0
2016-09-22,1.3036,1.3125,1.3028,1.3078,0
2016-09-23,1.3071,1.309,1.2913,1.2974,0
2016-09-26,1.2952,1.2988,1.2914,1.2975,0
2016-09-27,1.2975,1.3027,1.2936,1.3022,0
2016-09-28,1.3023,1.3033,1.2979,1.3019,0
2016-09-29,1.3016,1.306,1.2953,1.297,0
2016-09-30,1.2969,1.3023,1.2936,1.2976,0
2016-10-03,1.294,1.2948,1.2817,1.2843,0
2016-10-04,1.2842,1.2862,1.2717,1.2728,0
2016-10-05,1.2728,1.2772,1.2684,1.2749,0
2016-10-06,1.2746,1.2761,1.2601,1.2616,0
